20:37:53 | Trainer Initialized. Parallel Envs: 20
20:37:53 | 
=== PHASE 1: SUPERVISED LSTM PRE-TRAINING ===
20:37:53 | Collecting 10000 steps of random data...
20:38:13 | Pre-training LSTM for 5000 steps...
20:38:13 | Pretrain Loss: 0.6681
20:39:20 | Pretrain Loss: 0.0032
20:40:28 | Pretrain Loss: 0.0028
20:41:35 | Pretrain Loss: 0.0029
20:42:43 | Pretrain Loss: 0.0030
20:43:50 | Re-freezing LSTM.
20:43:50 | 
=== PHASE 2 & 3: RL TRAINING ===
22:08:12 | Step 80000 | C: 0.14 | A: -21.72 | P: 0.000 | R_avg: 0.15
22:09:32 | Step 81000 | C: 2.47 | A: -20.66 | P: 0.000 | R_avg: 0.15
22:10:52 | Step 82000 | C: 0.04 | A: -19.78 | P: 0.000 | R_avg: 0.15
22:12:11 | Step 83000 | C: 0.08 | A: -18.85 | P: 0.000 | R_avg: 0.15
22:13:31 | Step 84000 | C: 0.06 | A: -18.00 | P: 0.000 | R_avg: 0.19
22:14:51 | Step 85000 | C: 0.04 | A: -17.23 | P: 0.000 | R_avg: 0.19
22:16:11 | Step 86000 | C: 0.04 | A: -16.49 | P: 0.000 | R_avg: 0.23
22:17:30 | Step 87000 | C: 0.06 | A: -15.80 | P: 0.000 | R_avg: 0.22
22:18:52 | Step 88000 | C: 0.05 | A: -15.10 | P: 0.000 | R_avg: 0.21
22:20:12 | Step 89000 | C: 0.05 | A: -14.45 | P: 0.000 | R_avg: 0.20
22:21:35 | Step 90000 | C: 0.05 | A: -13.79 | P: 0.000 | R_avg: 0.17
22:22:54 | Step 91000 | C: 0.04 | A: -13.19 | P: 0.000 | R_avg: 0.17
22:24:16 | Step 92000 | C: 0.02 | A: -12.64 | P: 0.000 | R_avg: 0.17
22:25:34 | Step 93000 | C: 0.02 | A: -12.06 | P: 0.000 | R_avg: 0.17
22:26:55 | Step 94000 | C: 0.11 | A: -11.60 | P: 0.000 | R_avg: 0.20
22:28:15 | Step 95000 | C: 0.03 | A: -11.04 | P: 0.000 | R_avg: 0.20
22:29:37 | Step 96000 | C: 0.04 | A: -10.64 | P: 0.000 | R_avg: 0.19
22:30:55 | Step 97000 | C: 0.02 | A: -10.22 | P: 0.000 | R_avg: 0.18
22:32:15 | Step 98000 | C: 0.03 | A: -9.81 | P: 0.000 | R_avg: 0.18
22:33:34 | Step 99000 | C: 0.02 | A: -9.41 | P: 0.000 | R_avg: 0.20
22:34:54 | Step 100000 | C: 0.02 | A: -9.01 | P: 0.000 | R_avg: 0.22
22:36:14 | Step 101000 | C: 0.01 | A: -8.67 | P: 0.000 | R_avg: 0.20
22:37:33 | Step 102000 | C: 0.01 | A: -8.31 | P: 0.000 | R_avg: 0.16
22:38:52 | Step 103000 | C: 0.03 | A: -8.03 | P: 0.000 | R_avg: 0.15
22:40:11 | Step 104000 | C: 0.02 | A: -7.72 | P: 0.000 | R_avg: 0.15
22:41:31 | Step 105000 | C: 0.03 | A: -7.41 | P: 0.000 | R_avg: 0.15
22:42:51 | Step 106000 | C: 0.01 | A: -7.11 | P: 0.000 | R_avg: 0.23
22:44:11 | Step 107000 | C: 0.13 | A: -6.82 | P: 0.000 | R_avg: 0.23
22:45:31 | Step 108000 | C: 0.02 | A: -6.60 | P: 0.000 | R_avg: 0.24
22:46:53 | Step 109000 | C: 0.01 | A: -6.31 | P: 0.000 | R_avg: 0.23
22:48:14 | Step 110000 | C: 0.02 | A: -6.08 | P: 0.000 | R_avg: 0.21
22:49:33 | Step 111000 | C: 0.01 | A: -5.92 | P: 0.000 | R_avg: 0.21
22:50:54 | Step 112000 | C: 0.02 | A: -5.72 | P: 0.000 | R_avg: 0.26
22:52:14 | Step 113000 | C: 0.01 | A: -5.49 | P: 0.000 | R_avg: 0.17
22:53:35 | Step 114000 | C: 0.02 | A: -5.24 | P: 0.000 | R_avg: 0.16
22:54:54 | Step 115000 | C: 0.01 | A: -5.06 | P: 0.000 | R_avg: 0.19
22:56:15 | Step 116000 | C: 0.01 | A: -4.85 | P: 0.000 | R_avg: 0.20
22:57:33 | Step 117000 | C: 0.01 | A: -4.67 | P: 0.000 | R_avg: 0.29
22:58:53 | Step 118000 | C: 0.01 | A: -4.46 | P: 0.000 | R_avg: 0.22
23:00:13 | Step 119000 | C: 0.02 | A: -4.36 | P: 0.000 | R_avg: 0.31
23:01:29 | Step 120000 | C: 0.01 | A: -4.16 | P: 0.000 | R_avg: 0.24
23:02:47 | Step 121000 | C: 0.24 | A: -4.03 | P: 0.000 | R_avg: 0.22
23:04:06 | Step 122000 | C: 0.00 | A: -3.91 | P: 0.000 | R_avg: 0.23
23:05:26 | Step 123000 | C: 0.01 | A: -3.76 | P: 0.000 | R_avg: 0.29
23:06:44 | Step 124000 | C: 0.01 | A: -3.65 | P: 0.000 | R_avg: 0.33
23:08:04 | Step 125000 | C: 0.01 | A: -3.54 | P: 0.000 | R_avg: 0.16
23:09:23 | Step 126000 | C: 0.01 | A: -3.46 | P: 0.000 | R_avg: 0.22
23:10:44 | Step 127000 | C: 0.02 | A: -3.37 | P: 0.000 | R_avg: 0.22
23:12:03 | Step 128000 | C: 0.02 | A: -3.27 | P: 0.000 | R_avg: 0.20
23:13:21 | Step 129000 | C: 0.01 | A: -3.19 | P: 0.000 | R_avg: 0.23
23:14:39 | Step 130000 | C: 0.00 | A: -3.08 | P: 0.000 | R_avg: 0.20
23:15:57 | Step 131000 | C: 0.09 | A: -2.98 | P: 0.000 | R_avg: 0.25
23:17:15 | Step 132000 | C: 0.04 | A: -2.90 | P: 0.000 | R_avg: 0.22
23:18:34 | Step 133000 | C: 0.01 | A: -2.82 | P: 0.000 | R_avg: 0.33
23:19:52 | Step 134000 | C: 0.11 | A: -2.75 | P: 0.000 | R_avg: 0.32
23:21:10 | Step 135000 | C: 0.05 | A: -2.69 | P: 0.000 | R_avg: 0.25
23:22:28 | Step 136000 | C: 0.04 | A: -2.62 | P: 0.000 | R_avg: 0.29
23:23:47 | Step 137000 | C: 0.07 | A: -2.67 | P: 0.000 | R_avg: 0.21
23:25:08 | Step 138000 | C: 0.07 | A: -2.63 | P: 0.000 | R_avg: 0.16
23:26:27 | Step 139000 | C: 0.01 | A: -2.60 | P: 0.000 | R_avg: 0.18
23:27:46 | Step 140000 | C: 0.02 | A: -2.50 | P: 0.000 | R_avg: 0.18
23:29:06 | Step 141000 | C: 0.01 | A: -2.44 | P: 0.000 | R_avg: 0.18
23:30:25 | Step 142000 | C: 0.00 | A: -2.39 | P: 0.000 | R_avg: 0.22
23:31:46 | Step 143000 | C: 0.02 | A: -2.36 | P: 0.000 | R_avg: 0.14
23:33:05 | Step 144000 | C: 0.01 | A: -2.26 | P: 0.000 | R_avg: 0.13
23:34:24 | Step 145000 | C: 0.02 | A: -2.22 | P: 0.000 | R_avg: 0.32
23:35:44 | Step 146000 | C: 0.01 | A: -2.15 | P: 0.000 | R_avg: 0.33
23:37:04 | Step 147000 | C: 0.05 | A: -2.12 | P: 0.000 | R_avg: 0.26
23:38:22 | Step 148000 | C: 0.02 | A: -2.06 | P: 0.000 | R_avg: 0.17
